Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
X8	DOID:219	colon cancer	20/159	282/8007	6.69719406255654e-07	0.000177007175032835	0.000142694813082437	3329/6159/6772/23022/3091/4313/7078/3875/4072/1634/5176/4070/8073/5052/10521/488/5376/10631/10410/4582	20
X8	DOID:9256	colorectal cancer	20/159	287/8007	8.84921675541048e-07	0.000177007175032835	0.000142694813082437	3329/6159/6772/23022/3091/4313/7078/3875/4072/1634/5176/4070/8073/5052/10521/488/5376/10631/10410/4582	20
X8	DOID:5672	large intestine cancer	20/159	288/8007	9.34897051229762e-07	0.000177007175032835	0.000142694813082437	3329/6159/6772/23022/3091/4313/7078/3875/4072/1634/5176/4070/8073/5052/10521/488/5376/10631/10410/4582	20
X8	DOID:10155	intestinal cancer	20/159	300/8007	1.77220920447462e-06	0.000233136438251783	0.000187943570495785	3329/6159/6772/23022/3091/4313/7078/3875/4072/1634/5176/4070/8073/5052/10521/488/5376/10631/10410/4582	20
X8	DOID:13359	Ehlers-Danlos syndrome	5/159	12/8007	2.05225737897697e-06	0.000233136438251783	0.000187943570495785	1281/1634/1277/1278/1290	5
X8	DOID:3969	papillary thyroid carcinoma	11/159	108/8007	8.79075113088475e-06	0.000757263806838149	0.000610470266817263	3091/678/3880/5052/7295/10631/1051/4582/9547/6138/10776	11
X8	DOID:3963	thyroid carcinoma	15/159	200/8007	9.33247649272367e-06	0.000757263806838149	0.000610470266817263	3091/4313/678/3880/1634/2099/5052/7295/10631/388/1051/4582/9547/6138/10776	15
X8	DOID:0060085	organ system benign neoplasm	17/159	262/8007	1.59681001466713e-05	0.00113373511041366	0.000913963626816055	1495/3091/4313/6009/4830/2697/4072/1277/1513/1462/2099/5052/1191/7295/388/1051/4582	17
X8	DOID:1781	thyroid cancer	15/159	213/8007	1.98623963160186e-05	0.00125353790083318	0.00101054297046411	3091/4313/678/3880/1634/2099/5052/7295/10631/388/1051/4582/9547/6138/10776	15
X8	DOID:3908	non-small cell lung carcinoma	22/159	431/8007	3.87177759473223e-05	0.00219916967380791	0.00177286658285107	6678/3091/4313/3490/8553/2023/4830/3875/3880/2697/4060/4072/3315/4070/2099/4904/5052/563/10631/388/3572/4582	22
X8	DOID:0060082	breast benign neoplasm	4/159	12/8007	6.54610117222939e-05	0.00309848788818858	0.00249785439466648	6009/2697/7295/4582	4
X8	DOID:0060097	thoracic benign neoplasm	4/159	12/8007	6.54610117222939e-05	0.00309848788818858	0.00249785439466648	6009/2697/7295/4582	4
X8	DOID:120	female reproductive organ cancer	22/159	455/8007	8.71591563595072e-05	0.00380818467786155	0.00306997838189358	7534/3091/4313/7078/506/4830/3880/4072/3315/214/4070/1462/2099/4904/7295/488/10631/3572/1051/4582/55353/8848	22
X8	DOID:1520	colon carcinoma	12/159	168/8007	0.000121085230442524	0.00491260077795384	0.00396030640921038	3329/6772/23022/3091/7078/3875/4072/1634/5176/8073/5376/4582	12
X8	DOID:2151	malignant ovarian surface epithelial-stromal neoplasm	16/159	286/8007	0.000168210890345924	0.005620222689205	0.00453075772758372	7534/3091/4313/506/4830/4072/3315/214/4070/1462/2099/4904/7295/10631/55353/8848	16
X8	DOID:2152	ovary epithelial cancer	16/159	286/8007	0.000168210890345924	0.005620222689205	0.00453075772758372	7534/3091/4313/506/4830/4072/3315/214/4070/1462/2099/4904/7295/10631/55353/8848	16
X8	DOID:4001	ovarian carcinoma	16/159	286/8007	0.000168210890345924	0.005620222689205	0.00453075772758372	7534/3091/4313/506/4830/4072/3315/214/4070/1462/2099/4904/7295/10631/55353/8848	16
X8	DOID:201	connective tissue cancer	18/159	370/8007	0.000372275895773228	0.0117473727110663	0.00947017629598563	2547/59/3091/4313/1293/9184/4060/3315/3615/1634/5176/1277/1513/2099/1191/1051/4582/3105	18
X8	DOID:2394	ovarian cancer	16/159	312/8007	0.000449167925549726	0.0134277569322234	0.0108248225825003	7534/3091/4313/506/4830/4072/3315/214/4070/1462/2099/4904/7295/10631/55353/8848	16
X8	DOID:1793	pancreatic cancer	16/159	319/8007	0.000573055463975279	0.0162747751768979	0.0131199540436446	2665/6678/1495/3068/23022/3091/10628/4313/4060/4072/3315/25800/689/10631/4582/3105	16
X8	DOID:10283	prostate cancer	19/159	425/8007	0.000726177775926933	0.0196413798441189	0.0158339515051737	7494/7009/3329/3091/10628/4313/3490/6009/3487/3315/1277/2099/10551/563/5087/4502/1051/4582/427	19
X8	DOID:4607	biliary tract cancer	11/159	178/8007	0.000802913716400361	0.0207297723143366	0.0167113620399118	3068/4313/4830/3880/4072/4070/2099/10631/4582/55353/9	11
X8	DOID:11934	head and neck cancer	13/159	239/8007	0.000908751611281463	0.02244221370469	0.0180918513001115	7534/3329/6772/3091/10628/4313/7078/2023/6888/3880/488/3572/9	13
X8	DOID:3856	male reproductive organ cancer	19/159	435/8007	0.000960481431130938	0.0227313938700989	0.0183249746728929	7494/7009/3329/3091/10628/4313/3490/6009/3487/3315/1277/2099/10551/563/5087/4502/1051/4582/427	19
X8	DOID:184	bone cancer	13/159	243/8007	0.00105894746453992	0.0233965472798398	0.0188611898938664	59/3091/4313/9184/4060/3315/3615/1634/5176/1277/2099/4582/3105	13
X8	DOID:0060100	musculoskeletal system cancer	19/159	439/8007	0.00107096871351379	0.0233965472798398	0.0188611898938664	2547/59/3091/4313/1293/9184/4060/3315/3615/1634/5176/1277/1513/2099/1191/800/1051/4582/3105	19
X8	DOID:4468	clear cell adenocarcinoma	4/159	24/8007	0.00116680122692673	0.0245460406257178	0.0197878570648392	3091/4313/4072/4582	4
X8	DOID:0060095	uterine benign neoplasm	5/159	43/8007	0.00151748396001628	0.0297217548030775	0.0239602730528887	4313/1277/1462/2099/1051	5
X8	DOID:13223	uterine fibroid	5/159	43/8007	0.00151748396001628	0.0297217548030775	0.0239602730528887	4313/1277/1462/2099/1051	5
X8	DOID:0060086	female reproductive organ benign neoplasm	5/159	45/8007	0.00186567449395609	0.0353234370855686	0.028476084381435	4313/1277/1462/2099/1051	5
X8	DOID:0050622	reproductive organ benign neoplasm	5/159	47/8007	0.00226903817930105	0.0412445924501184	0.0332494397994839	4313/1277/1462/2099/1051	5
X8	DOID:5041	esophageal cancer	9/159	145/8007	0.00232363901127427	0.0412445924501184	0.0332494397994839	10550/4313/4072/5052/4179/5087/4502/4582/3105	9
X8	DOID:4905	pancreatic carcinoma	12/159	237/8007	0.00261117613099262	0.0449438800728427	0.0362316305257349	2665/6678/1495/3068/23022/3091/4072/3315/25800/689/4582/3105	12
